section_name,difficulty,question_text
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",easy,ফোনটি সম্পূর্ণ বন্ধ করে আবার চালু করুন।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",easy,স্ক্রিন লক করুন এবং পিন/প্যাটার্ন/পাসওয়ার্ড দিয়ে আনলক করে দেখান।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",easy,স্ক্রিন ব্রাইটনেস কমিয়ে-বাড়িয়ে ও ভলিউম পরিবর্তন করে দেখান।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",easy,এয়ারপ্লেন মোড চালু করে আবার বন্ধ করুন।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",easy,একটি স্ক্রিনশট নিয়ে গ্যালারিতে খুঁজে বের করুন।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",easy,মোবাইলের তারিখ ও সময় ঠিক আছে কিনা যাচাই করুন।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",easy,সাইলেন্ট/ভাইব্রেট মোড চালু করে দেখান।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",easy,ফ্ল্যাশলাইট (টর্চ) চালু ও বন্ধ করে দেখান।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",easy,স্ক্রিন রোটেশন (Auto-Rotate) চালু/বন্ধ করে দেখান।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",easy,ব্যাটারি পার্সেন্টেজ দেখানোর অপশন চালু করে দেখান।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",medium,সিম-১-এর মোবাইল ডেটা বন্ধ করে সিম-২-এর ডেটা চালু করে দেখান।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",medium,মোবাইল ডেটা বন্ধ রেখে ওয়াই-ফাই পাসওয়ার্ড দিয়ে ইন্টারনেট সংযোগ দিন।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",medium,সুমারি অ্যাপটি খুঁজে বের করে ওপেন করে প্রদত্ত ইউজারনেম/পাসওয়ার্ড দিয়ে লগইন করুন।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",medium,অ্যাপ থেকে লগআউট করে আবার লগইন করে দেখান।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",medium,মোবাইল হটস্পট চালু করে অন্য একটি ডিভাইস সংযুক্ত করে দেখান।
"মোবাইল/ট্যাব চালু, লক-আনলক ও অ্যাপে লগইন",medium,প্লে স্টোরে গিয়ে অ্যাপটির কোনো আপডেট আছে কি না যাচাই করুন।
